UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Psychology Thoughts,@Psychology_DQ,2021-09-13T06:34:11.000Z,,"Psychology says the less you care, the happier you will be.",,85,"1,075","4,515",[],https://twitter.com/Psychology_DQ/status/1437303579522609154
Psychology Thoughts,@Psychology_DQ,2021-09-11T07:16:55.000Z,,Psychology says You'll never live a happy life if you always care about what others think about you.,,33,801,"3,310",[],https://twitter.com/Psychology_DQ/status/1436589556590125059
Psychology Thoughts,@Psychology_DQ,2021-09-17T06:39:11.000Z,,"Psychology says once you fall in love, there’s no going back to being just friends.",,80,600,"3,564",[],https://twitter.com/Psychology_DQ/status/1438754386872786950
Psychology Thoughts,@Psychology_DQ,2021-09-15T06:27:07.000Z,,"Psychology says the more loyal you are, the more disappointment you encounter and experience.",,90,841,"3,790",[],https://twitter.com/Psychology_DQ/status/1438026577065959428
Psychology Thoughts,@Psychology_DQ,2021-09-12T06:33:19.000Z,,Psychology says being single will save you a thousand times more stress than being in the wrong relationship.,,59,726,"3,634",[],https://twitter.com/Psychology_DQ/status/1436940972789669889
Psychology Thoughts,@Psychology_DQ,2021-09-21T06:42:37.000Z,,Psychology says the purpose of our lives is to be happy.,,49,300,"1,586",[],https://twitter.com/Psychology_DQ/status/1440204804790226952
Psychology Thoughts,@Psychology_DQ,2021-09-14T06:33:58.000Z,,"Psychology says to find three hobbies: 

- One to make you money
- One to keep you in shape
- And one to keep you creative.",,20,336,"1,324",[],https://twitter.com/Psychology_DQ/status/1437665909494231040
Psychology Thoughts,@Psychology_DQ,2021-09-20T06:32:52.000Z,,"Psychology says when you stop expecting people to be perfect, you can like them for who they are.",,22,368,"1,864",[],https://twitter.com/Psychology_DQ/status/1439839963852443650
Psychology Thoughts,@Psychology_DQ,2021-09-18T18:38:57.000Z,,Psychology says indifference and neglect often do much more damage than outright dislike.,,8,193,"1,100",[],https://twitter.com/Psychology_DQ/status/1439297911557402631
Psychology Thoughts,@Psychology_DQ,2021-09-25T07:29:47.000Z,,"Psychology says, don’t break yourself just to fit into someone’s life.",,26,"1,099","4,447",[],https://twitter.com/Psychology_DQ/status/1441666226422431744
Psychology Thoughts,@Psychology_DQ,2021-10-14T08:37:45.000Z,,Psychology says a mistake repeated more than once is a decision.,,44,785,"3,603",[],https://twitter.com/Psychology_DQ/status/1448568699502403588
Psychology Thoughts,@Psychology_DQ,2021-10-12T08:32:38.000Z,,"Psychology says private life always wins, keep it a secret till you win.",,28,911,"4,047",[],https://twitter.com/Psychology_DQ/status/1447842636207960067
Psychology Thoughts,@Psychology_DQ,2021-09-27T07:05:31.000Z,,"Psychology says, don't waste your time with explanations: people only hear what they want to hear.",,33,874,"3,270",[],https://twitter.com/Psychology_DQ/status/1442384894705876993
Psychology Thoughts,@Psychology_DQ,2021-10-21T10:38:26.000Z,,Psychology says silence is the best answer to someone who doesn’t value your words,,35,906,"4,072",[],https://twitter.com/Psychology_DQ/status/1451135786263490560
Psychology Thoughts,@Psychology_DQ,2021-10-04T10:36:24.000Z,,Psychology says everything will come to you at the perfect time.,,62,697,"3,485",[],https://twitter.com/Psychology_DQ/status/1444974677621936140
Psychology Thoughts,@Psychology_DQ,2021-10-02T17:31:24.000Z,,"Psychology says, you're not afraid to love, you're afraid of not being loved back.",,33,631,"3,078",[],https://twitter.com/Psychology_DQ/status/1444354343113740289
Psychology Thoughts,@Psychology_DQ,2021-10-01T06:55:36.000Z,,"Psychology says, a positive mind towards everything will give you a happier life.",,22,472,"2,179",[],https://twitter.com/Psychology_DQ/status/1443831950167453721
Psychology Thoughts,@Psychology_DQ,2021-10-19T08:37:38.000Z,,"Psychology says without self-discipline, success is impossible.",,25,533,"2,600",[],https://twitter.com/Psychology_DQ/status/1450380607104692231
Psychology Thoughts,@Psychology_DQ,2021-10-11T08:32:42.000Z,,"Psychology says if you discipline yourself today, you’ll enjoy your life more tomorrow.",,31,610,"3,011",[],https://twitter.com/Psychology_DQ/status/1447480265236963328
Psychology Thoughts,@Psychology_DQ,2021-10-17T08:35:07.000Z,,"Psychology says it is not a lack of love, but a lack of friendship that makes unhappy marriages.",,34,448,"2,769",[],https://twitter.com/Psychology_DQ/status/1449655201250615296
Psychology Thoughts,@Psychology_DQ,2021-10-15T19:35:24.000Z,,Psychology says Overthinking leads to problems that don't even exist in the first place.,,32,578,"2,890",[],https://twitter.com/Psychology_DQ/status/1449096589264445442
Psychology Thoughts,@Psychology_DQ,2021-10-06T10:29:14.000Z,,"Psychology says learning to ignore things which is not good for your mental health,

Is one of the greatest paths to achieve inner peace.",,36,604,"2,616",[],https://twitter.com/Psychology_DQ/status/1445697652725895168
Psychology Thoughts,@Psychology_DQ,2021-10-18T08:49:02.000Z,,"Psychology says workout, eat well, read, and discipline repeated with consistency leads to great achievement.",,25,523,"2,818",[],https://twitter.com/Psychology_DQ/status/1450021089069965312
Psychology Thoughts,@Psychology_DQ,2021-10-16T10:42:20.000Z,,Psychology says we suffer more often in imagination that in reality.,,22,458,"2,537",[],https://twitter.com/Psychology_DQ/status/1449324826808700928
Psychology Thoughts,@Psychology_DQ,2021-10-20T08:37:11.000Z,,"psychology says self-discipline is often disguised as short-term pain, which often leads to long-term gains.",,11,347,"1,763",[],https://twitter.com/Psychology_DQ/status/1450742883078885382
Psychology Thoughts,@Psychology_DQ,2021-10-07T19:36:04.000Z,,Psychology says People start hating you when they cannot control you.,,18,294,"1,095",[],https://twitter.com/Psychology_DQ/status/1446197653105221632
Psychology Thoughts,@Psychology_DQ,2021-10-10T08:33:45.000Z,,Psychology says you should be private. Never tell people more than they need to know.,,17,279,"1,274",[],https://twitter.com/Psychology_DQ/status/1447118140760936451
Psychology Thoughts,@Psychology_DQ,2021-09-29T17:29:29.000Z,,"Psychology says, Life is ten percent what you experience and ninety percent how you respond to it.",,12,344,"1,721",[],https://twitter.com/Psychology_DQ/status/1443266696437899265
Psychology Thoughts,@Psychology_DQ,2021-10-08T19:35:37.000Z,,"Psychology says detachment is power.

Clear anything that disturbs your mental health.",,25,658,"2,710",[],https://twitter.com/Psychology_DQ/status/1446559930572496906
Psychology Thoughts,@Psychology_DQ,2021-11-20T08:38:02.000Z,,"Psychology says, you're not afraid to love, you're afraid of not being loved back.",,76,"1,218","6,439",[],https://twitter.com/Psychology_DQ/status/1461977120649920514
