UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Chris Tweten,@ctwtn,2020-02-19T20:35:00.000Z,Due to pregnancy the average number of skeletons per human is MORE THAN ONE,Due to pregnancy the average number of skeletons per human is MORE THAN ONE,🍁,5,92,232,[],https://twitter.com/ctwtn/status/1230229317994418178
Gabriela Cardoza,@CardozaGab,2020-04-24T17:21:20.000Z,"My mother has tested positive for Covid-19.
She has Alzheimers and asthma.","My mother has tested positive for Covid-19.
She has Alzheimers and asthma.


 If you can just keep her in your thoughts,  I'd really appreciate it.
 If I'm a bit absent for a few days, I apologize. I love you friends.",💜,191,29,541,[],https://twitter.com/CardozaGab/status/1253735791181864960
Gabriela Cardoza,@CardozaGab,2020-05-28T05:01:56.000Z,Let's Do This! ,"Let's Do This! 

#Labor #ThursdayMorning",,41,4,113,['https://pbs.twimg.com/media/EZFFtnmWAAAecLQ?format=jpg&name=small'],https://twitter.com/CardozaGab/status/1265870900743806979
Gabriela Cardoza,@CardozaGab,2020-05-29T10:59:45.000Z,"Update:
________

He’s here!

Born at 2pm.
Weighs 5 pounds.","Update:
________

He’s here!

Born at 2pm.
Weighs 5 pounds.

 

He’s calm + happy.
We’re both doing great! 

-
Thank you all for checking in on us! My heart is so full. 
Quote Tweet
Gabriela Cardoza
@CardozaGab
 · May 28, 2020
Let's Do This! 

#Labor #ThursdayMorning",💜,99,3,231,"['https://pbs.twimg.com/profile_images/1351646192132890625/Nyni8A1M_mini.jpg', 'https://pbs.twimg.com/media/EZFFtnmWAAAecLQ?format=jpg&name=small']",https://twitter.com/CardozaGab/status/1266323338416345089
Gabriela Cardoza,@CardozaGab,2020-07-06T16:08:00.000Z,"Content tip
__

How to
capture your
target's attention","Content tip
__

How to
capture your
target's attention



￼
-Tell a story
-Address a problem
-Offer a solution
-Write in a unique voice
-Share actionable tips
-Diversify your mediums/platforms
-Share impactful data + unique insights
-Pose Qs

#branding #marketing 

￼",,11,80,273,['https://pbs.twimg.com/media/EcQVLIjXQAIakz1?format=jpg&name=small'],https://twitter.com/CardozaGab/status/1280171651246800902
Gabriela Cardoza,@CardozaGab,2020-07-18T17:50:30.000Z,"_

I'm officially 30! 

_

*shook*

-

My 20s were full of adventure, laughter & joy.
I owe a lot of that to my Twitter family.

So, cheers to my 30th & cheers to YOU! 

_","_

I'm officially 30! 

_

*shook*

-

My 20s were full of adventure, laughter & joy.
I owe a lot of that to my Twitter family.

So, cheers to my 30th & cheers to YOU! 

_

#Birthday!",,70,9,140,['https://pbs.twimg.com/media/EdOfznSWkAU4g6i?format=jpg&name=small'],https://twitter.com/CardozaGab/status/1284546099311779846
Daniel Murray,@Dmurr68,2020-07-30T20:55:41.000Z,"15 marketers to follow on twitter:

1. ","15 marketers to follow on twitter:

1. 
@TheCoolestCool
2. 
@KateBour
3. 
@mkobach
4. 
@AmandaMGoetz
5. 
@davegerhardt
6. 
@mrsharma
7. 
@KarenCivil
8. 
@NoahKagan
9. 
@andijarvis
)
10. 
@Tobydoyhowell
11.  
@ladybusiness
12. 
@Peeplaja
13. 
@ryandeiss
 
14. 
@Prsarahevans
15. 
@sangramvajre",,17,34,203,[],https://twitter.com/Dmurr68/status/1288941357780701184
Daniel Murray,@Dmurr68,2020-09-23T22:05:26.000Z,"21 brands with amazing social media marketing

1. ","21 brands with amazing social media marketing

1. 
@Nike
2. 
@LEGO_Group
 
3. 
@ChipotleTweets
 
4. 
@tacobell
 
5. 
@Gymshark
 
6. 
@glossier
 
7. 
@BANGenergy
 
8. 
@Starbucks
 
9. 
@McDonalds
 
10. 
@redbull
 
11. 
@CocaCola
 
12. 
@Airbnb
 
13. 
@Mailchimp
 
14. 
@137pm
 
15. 
@fast
 
16.
@Wendys
 

Thread",,71,216,"1,114",[],https://twitter.com/Dmurr68/status/1308890241114288129
Daniel Murray,@Dmurr68,2020-12-21T13:46:51.000Z,"Every marketing degree should teach:

1. Psychology 
2. Copywriting 
3. How to sell
4. Empathy
5. Creativity
6. Storytelling

What would you add?","Every marketing degree should teach:

1. Psychology 
2. Copywriting 
3. How to sell
4. Empathy
5. Creativity
6. Storytelling

What would you add?",,748,"1,747","8,066",[],https://twitter.com/Dmurr68/status/1341017289152319489
Gabriela Cardoza,@CardozaGab,2020-12-09T13:38:00.000Z,"You must understand people before you can understand marketing.

(That's it. That's the tweet.)","You must understand people before you can understand marketing.

(That's it. That's the tweet.)",,34,122,593,['https://pbs.twimg.com/media/EoyAy9LW4AAZCiv?format=jpg&name=small'],https://twitter.com/CardozaGab/status/1336666407312900097
Daniel Murray,@Dmurr68,2020-12-19T21:13:39.000Z,Paid advertising is a marketing tactic. Not a strategy.,Paid advertising is a marketing tactic. Not a strategy.,,32,225,"1,364",[],https://twitter.com/Dmurr68/status/1340404953601339393
Gabriela Cardoza,@CardozaGab,2020-12-14T14:40:00.000Z,"Just found out I have Covid.

.
Our entire family has it,  including our 6-Month-Old baby.
.

It might take me a bit to respond on here for next few days.
Thank you for bearing with me. This month has been hard.","Just found out I have Covid.

.
Our entire family has it,  including our 6-Month-Old baby.
.

It might take me a bit to respond on here for next few days.
Thank you for bearing with me. This month has been hard.",,282,12,304,['https://pbs.twimg.com/media/EpNJEK0XcAIMp-G?format=jpg&name=small'],https://twitter.com/CardozaGab/status/1338493949581828097
Gabriela Cardoza,@CardozaGab,2020-12-23T17:08:12.000Z,"Best thing to come out of 2020.

Brewer, meet Twitter.
Twitter, meet Brewer.","Best thing to come out of 2020.

Brewer, meet Twitter.
Twitter, meet Brewer.",,48,2,333,['https://pbs.twimg.com/media/Ep8BLfCXcAIfrUK?format=jpg&name=small'],https://twitter.com/CardozaGab/status/1341792737054633985
Daniel Murray,@Dmurr68,2020-12-24T20:53:06.000Z,"14 marketers to follow:

- ","14 marketers to follow:

- 
@mkobach
 
- 
@AmandaMGoetz
 
- 
@LeboLion_SA
 
- 
@TheCoolestCool
 
- 
@KateBour
 
- 
@ThatChristinaG
 
- 
@tobydoyhowell
 
- 
@robin_daniels
 
- 
@kdlafrance
 
- 
@JunaeBrown
 
- 
@brianne2k
 
- 
@JuiceboxCA
 
- 
@jackbutcher
 
- 
@prsarahevans
 

Who would you add?",,23,26,201,[],https://twitter.com/Dmurr68/status/1342211722669563904
