UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Oliver Cantin,@oliviercantin,2020-05-18T12:25:34.000Z,,"Why does school make you memorize state capitals?

And teach you nothing about how to allocate capital?",,24,49,257,[],https://twitter.com/oliviercantin/status/1262358666801487873
Oliver Cantin,@oliviercantin,2020-05-14T23:10:54.000Z,,"I plead guilty

Guilty of hopping from biz model to biz model

Guilty of listening to one guru, then another guru

Guilty of dopamine buying ebooks and courses

But after I *finally* picked ONE
-Niche
-Offer
-Biz Model
-Lead gen mechanism

I was able to quit my job in 3 months",,41,72,716,[],https://twitter.com/oliviercantin/status/1261071521411485698
Oliver Cantin,@oliviercantin,2020-06-15T01:56:36.000Z,,Sleep Team Six ,💪,44,29,389,['https://pbs.twimg.com/media/EahJEWmWkAAL0tY?format=jpg&name=small'],https://twitter.com/oliviercantin/status/1272347242721148928
Oliver Cantin,@oliviercantin,2020-06-25T16:38:03.000Z,,Eggs are the #1 most perfect food,,42,64,574,[],https://twitter.com/oliviercantin/status/1276192945230811137
Oliver Cantin,@oliviercantin,2020-06-03T18:43:15.000Z,,Let’s all get rich,,32,52,335,[],https://twitter.com/oliviercantin/status/1268251921363730435
Oliver Cantin,@oliviercantin,2020-06-28T14:27:48.000Z,,"Treat your 20s like a startup

1) Keep expenses low

2) ""Fire"" bad people fast

3) Eat healthy + workout

4) Experiment relentlessly + measure results

5) Create a ""board of directors"" of mentors that achieved what you want to achieve",,23,181,794,[],https://twitter.com/oliviercantin/status/1277247332673818626
Oliver Cantin,@oliviercantin,2020-06-28T00:39:03.000Z,,Imperfect action is a billion times better than eternal planning,,32,73,500,[],https://twitter.com/oliviercantin/status/1277038767430422528
Oliver Cantin,@oliviercantin,2020-06-21T15:36:02.000Z,,"I'm 100% confident that if you're reading this...

You can earn a full-time income online

And you can do it before 2021

Start now",,73,70,729,[],https://twitter.com/oliviercantin/status/1274727788130578433
Oliver Cantin,@oliviercantin,2020-06-29T01:47:40.000Z,,Book summaries > 99% of books,,52,38,296,[],https://twitter.com/oliviercantin/status/1277418424747134976
Oliver Cantin,@oliviercantin,2020-06-28T17:31:08.000Z,,The saddest thing in the world is wasted potential,,39,78,415,[],https://twitter.com/oliviercantin/status/1277293467924824069
Oliver Cantin,@oliviercantin,2020-06-28T15:06:45.000Z,,"You will never regret

-Making time for family
-Ending a toxic relationship
-Building a high ROI skillset

What else?",,96,93,621,[],https://twitter.com/oliviercantin/status/1277257132145029120
Oliver Cantin,@oliviercantin,2020-06-28T22:00:02.000Z,,"Sex is cool

But did you ever close a $10,000 deal on the phone?",,41,26,290,[],https://twitter.com/oliviercantin/status/1277361137743470603
Oliver Cantin,@oliviercantin,2020-06-22T00:21:42.000Z,,"Consider that you might be wrong 

Consider that they might be right 

Consider changing your mind

The smartest people are 

the fastest to upgrade their worldview",,20,70,300,[],https://twitter.com/oliviercantin/status/1274860075333685248
Oliver Cantin,@oliviercantin,2020-06-18T12:25:02.000Z,,"Things you don't need to earn 10K/month

- World-class skills
- Business card
- Website
- Inc/LLC
- Logo

Things you do need to earn 10K/month

- Confidence
- Research
- One niche
- B+ skills
- Persistence",,26,88,610,[],https://twitter.com/oliviercantin/status/1273592557679804417
Oliver Cantin,@oliviercantin,2020-06-01T23:52:24.000Z,,"Calling it now

I’m turning 36 in December 

Before my 40th birthday 

My family and I will be completely financially independent ",👑,41,11,399,[],https://twitter.com/oliviercantin/status/1267604943076315137
Oliver Cantin,@oliviercantin,2020-06-23T12:05:06.000Z,,"If you’re in 20s today 

With focus and work ethic 

And start a business that can (eventually) scale 

There’s *no reason* 

You can’t be a liquid millionaire by 40...

Or sooner",,21,39,326,[],https://twitter.com/oliviercantin/status/1275399479278084096
Oliver Cantin,@oliviercantin,2020-06-23T01:01:29.000Z,,"Number of biz models I've failed at:
3

Number of times I wanted to give up:
147?

Number of hours worked before making $1 online:
500+

Number of people that believed in me:
1

Number of dollars I made *this* week:
$10,900",,23,28,376,[],https://twitter.com/oliviercantin/status/1275232475430686720
Oliver Cantin,@oliviercantin,2020-06-23T14:26:29.000Z,,"My biggest Twitter regret?

Not actively tweeting until I felt I was an ""expert""

I love how 
@david_perell
 preaches to ""learn in public""

If you're reading this and feel some impostor syndrome...

Know that I did feel that too

Still do sometimes!

Don't be shy

Write and learn!",,29,41,428,[],https://twitter.com/oliviercantin/status/1275435061689479168
Oliver Cantin,@oliviercantin,2020-07-10T23:06:25.000Z,,Action eliminates anxiety,,45,288,"1,183",[],https://twitter.com/oliviercantin/status/1281726498991484939
Oliver Cantin,@oliviercantin,2020-07-28T15:28:15.000Z,,"The smarter you get

The more you'll say ""I don't know""",,88,290,"1,352",[],https://twitter.com/oliviercantin/status/1288134180623339523
Oliver Cantin,@oliviercantin,2020-07-25T12:26:30.000Z,,"Marketing is like war. 

Paid adverstising is a tactic. 

Copywriting and creatives are weapons. 

You can’t just execute tactics. 

If you want to win, you need a strategy.",,44,448,"1,548",[],https://twitter.com/oliviercantin/status/1287001278397190145
Oliver Cantin,@oliviercantin,2020-07-22T01:42:07.000Z,,"Winning is a habit

Not an outcome",,22,122,653,[],https://twitter.com/oliviercantin/status/1285751948776529921
Oliver Cantin,@oliviercantin,2020-07-20T15:37:07.000Z,,"Learn to love problems 

Problems are profit in disguise",,43,171,816,[],https://twitter.com/oliviercantin/status/1285237309349257218
Oliver Cantin,@oliviercantin,2020-07-29T00:00:37.000Z,,Entrepreneurship is self-improvement disguised as business,,53,273,"1,259",[],https://twitter.com/oliviercantin/status/1288263119161237505
