UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Ramp Capital,@RampCapitalLLC,2020-02-11T03:03:19.000Z,,What’s your favorite productivity hack?,,234,20,184,[],https://twitter.com/RampCapitalLLC/status/1227065550993575936
"nader dabit (, ) | sha.eth | nader.sol",@dabit3,2020-02-23T14:49:57.000Z,,"A  productivity hack for design-lacking people who speak at events & want beautiful presentations

Buy predesigned Keynote / Google Slides / etc.. templates on ThemeForest (or similar) & modify

This has saved me *so much* time & effort + I always get compliments on my slides",🧱 🚀 🔥,6,18,123,[],https://twitter.com/dabit3/status/1231592032780595200
Joan Walsh,@joanwalsh,2020-02-24T11:41:47.000Z,,"This HAS to be a joke, right (haven't had my coffee yet). ""We now have an array of goods and services to optimize our lives...into an impermeable airtight hunk of productivity."" One hack: listening to abridged versions of books. I'd rather die.
Quote Tweet
New York Times Opinion
@nytopinion
 · Feb 24, 2020
The average person wastes 21.8 hours every week. That's equal to a part time job or running five whole marathons. https://nyti.ms/37WVEAC",,58,41,336,"['https://pbs.twimg.com/profile_images/963564424278650886/ibjM-Kyv_mini.jpg', 'https://pbs.twimg.com/media/ERiY4KQWsAAnVCM.jpg']",https://twitter.com/joanwalsh/status/1231907067516067842
Joan Walsh,@joanwalsh,2020-02-24T11:41:47.000Z,,"This HAS to be a joke, right (haven't had my coffee yet). ""We now have an array of goods and services to optimize our lives...into an impermeable airtight hunk of productivity."" One hack: listening to abridged versions of books. I'd rather die.
Quote Tweet
New York Times Opinion
@nytopinion
 · Feb 24, 2020
The average person wastes 21.8 hours every week. That's equal to a part time job or running five whole marathons. https://nyti.ms/37WVEAC
5:44
1M views",,58,41,336,['https://pbs.twimg.com/profile_images/963564424278650886/ibjM-Kyv_mini.jpg'],https://twitter.com/joanwalsh/status/1231907067516067842
dave karpf,@davekarpf,2020-03-14T15:26:01.000Z,,"Academic productivity hack--It looks like I'll be able to read a dozen books per day thanks to social distancing!

Main topics I'll be covering in my research:
-Elmo and his friends
-Llama Llama learning to share
-trains and trucks and plenty of aminals too.",,71,595,"5,617",[],https://twitter.com/davekarpf/status/1238848867703099396
Margaret Killjoy,@magpiekilljoy,2020-03-30T12:30:11.000Z,,"productivity hack: don’t try. like stop trying to make yourself get shit done. if you arent frontlines your only job right now is to not die or kill. 

only once i accepted this did i start getting anything done again.",🏴,,32,180,[],https://twitter.com/magpiekilljoy/status/1244602825113509890
"Shannon Dingle, M.A.Ed.",@ShannonDingle,2020-03-24T14:01:38.000Z,,"Trauma life hack:

Your emotional wellbeing & worth isn’t based in your productivity or perfection.

Emotional learning is more important than academic learning.

This isn’t a call to halt any education or work, just a reminder that who you are is more important than what you do.",,3,71,303,[],https://twitter.com/ShannonDingle/status/1242451510996471809
Daily Zen,@dailyzen,2020-05-11T22:24:52.000Z,,The best productivity “hack” is not hating what you do.,,3,106,332,[],https://twitter.com/dailyzen/status/1259972772601589760
Gaurav Munjal,@gauravmunjal,2020-05-27T15:16:40.000Z,,"Productivity hack

For every 4 hours that you work, spend at least 15 minutes thinking about what to work on.

What you work on is more important than how hard you work.

Prioritising is the key to great results.

Most people keep working very hard with negligible outcomes.",,18,141,835,[],https://twitter.com/gauravmunjal/status/1265663218745143298
Beth May,@HeyBethMay,2020-05-19T12:07:59.000Z,,"WOAHHH Twitter!! I just discovered the best productivity HACK! You GOTTA try this:

don’t be productive it makes me feel bad about myself, tysm!",,5,17,264,[],https://twitter.com/HeyBethMay/status/1262716629072281601
Rachel Blum,@blumrm,2020-05-19T21:48:49.000Z,,"A month ago I started doing a tiny bit of Spanish on 
@duolingo
 anytime I felt unfocused/lonely/sorry for myself. I've learned a surprising amount of Spanish, reduced my time on social media, and become way more productive. That's my #COVID productivity hack. Plz share yours!",,24,18,233,[],https://twitter.com/blumrm/status/1262862803335077889
Social Savannah,@social_savannah,2020-06-11T20:14:10.000Z,,Best productivity hack: stop multitasking.,,8,30,142,[],https://twitter.com/social_savannah/status/1271173905160368128
Rúnar,@runarorama,2020-06-19T23:18:59.000Z,,Productivity hack: let developers work on the stuff they want to work on.,,5,23,165,[],https://twitter.com/runarorama/status/1274119516641951750
Sajith Pai,@sajithpai,2020-06-25T03:37:16.000Z,,"Mr Mukesh Ambani's email productivity hack.

via https://theinformation.com/articles/how-indias-jio-won-facebooks-heart… by 
@waynema
 + 
@JuroOsawa",,33,106,408,['https://pbs.twimg.com/media/EbU_ogSU8AAqQJy?format=png&name=small'],https://twitter.com/sajithpai/status/1275996457464520705
Mark Allan Bovair,@markallanbovair,2020-06-22T11:57:24.000Z,,"Are you a procrastinator like me? 

Here’s my hack to mitigate it. 

I flip this timer and focus on one single task for 20min. 

I leave it out where I’ll see it constantly as a reminder to focus. 

Even 5-6 focused “sessions” a day can make for great productivity.",,13,22,195,['https://pbs.twimg.com/media/EbHVtopXQAAsM93?format=jpg&name=small'],https://twitter.com/markallanbovair/status/1275035155359584261
ZUBY:,@ZubyMusic,2020-07-22T14:58:54.000Z,,"I spend precisely 0 minutes per day hating on other people.

Try this little known life hack to improve mood, productivity, and success.",,68,442,"3,406",[],https://twitter.com/ZubyMusic/status/1285952467902107648
Moe,@Mochievous,2020-07-06T13:47:34.000Z,,"“Anything that can be done in 5 mins or less, do it immediately.”

This rule is the ultimate productivity hack.",,5,248,703,[],https://twitter.com/Mochievous/status/1280136310540374017
