UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Bolt Hustle,@BoltHustle,2020-12-06T15:24:40.000Z,,If you have a phone and internet there is no excuse for not starting a side business,⚡,19,24,180,[],https://twitter.com/BoltHustle/status/1335606087161159683
Bolt Hustle,@BoltHustle,2021-02-06T14:14:23.000Z,,7 rules of life:,⚡,18,67,250,[],https://twitter.com/BoltHustle/status/1358056447603576835
Bolt Hustle,@BoltHustle,2021-03-17T16:01:11.000Z,,"Stop seeking external validation, bet on yourself and see how your life changes.",⚡,20,55,231,[],https://twitter.com/BoltHustle/status/1372216450497253376
Bolt Hustle,@BoltHustle,2021-03-20T16:15:27.000Z,,"You have to be OBSESSED with your business idea.

There is a lot of competition in the market, you can't afford to be average.",⚡,19,31,191,[],https://twitter.com/BoltHustle/status/1373307208369373190
Bolt Hustle,@BoltHustle,2021-02-25T20:17:15.000Z,,What does wealth mean to you?,⚡,85,19,166,[],https://twitter.com/BoltHustle/status/1365033137596747776
Bolt Hustle,@BoltHustle,2021-04-23T14:00:50.000Z,,Use your pain as a superpower,⚡,17,81,357,['https://pbs.twimg.com/media/Ezqe3tMWYAM2lFT?format=jpg&name=small'],https://twitter.com/BoltHustle/status/1385594516334432258
Bolt Hustle,@BoltHustle,2021-04-15T16:01:42.000Z,,"A man can live about 40 days without food. 

He can live about three days without water,

and about eight minutes without air. 

But he can’t live one second without hope.",⚡,17,70,296,[],https://twitter.com/BoltHustle/status/1382725831684984836
Bolt Hustle,@BoltHustle,2021-04-12T14:00:58.000Z,,"If money wasn't an issue, what would you like to do now?",⚡,100,49,214,[],https://twitter.com/BoltHustle/status/1381608283211988993
Bolt Hustle,@BoltHustle,2021-04-13T17:01:20.000Z,,Surround yourself with creators and see how your content gets better.,⚡,18,32,181,[],https://twitter.com/BoltHustle/status/1382016063446130695
Bolt Hustle,@BoltHustle,2021-04-01T16:00:49.000Z,,"If you spend an hour + online per day

Why not make it profitable?",⚡,28,17,154,[],https://twitter.com/BoltHustle/status/1377652177561391104
Bolt Hustle,@BoltHustle,2021-03-29T16:02:19.000Z,,"Don't wait until a feedback meeting or year end to get a raise

You are responsible of your income, not your boss or clients

Take ownership and start an income stream.

Give yours a raise.",⚡,21,5,107,[],https://twitter.com/BoltHustle/status/1376565391397388290
