UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
,@dev_nikema,2020-02-19T21:51:11.000Z,#TechTwitter,#TechTwitter please start listening to women of color when we speak up about abuse and exploitation. We’re often first in the line of fire and there’s no benefit in it for us to be a whistleblower,🆗,6,203,718,[],https://twitter.com/dev_nikema/status/1230248489784762369
Name cannot be blank,@hackSultan,2020-02-19T08:35:37.000Z,"In the next 24 hours, ","In the next 24 hours, #Laptops4Developers would have raised £15,000 in 10 months and we will be proud to say we've supported 72 budding developers with Laptops, courses, mentorships, and learning space.

But the real deal is that, everything was publicly funded by #TechTwitter
GIF
Quote Tweet
Name cannot be blank
@hackSultan
 · Mar 20, 2019
I want to publicly fund raise 1m to support 10 upcoming developers to get a good laptop + free course.  

1. We will be giving out the laptops not the money. Buying in bulk

2. All core i5 and hopefull 128gb SSD or 500gb HDD

You want one? Indicate and tag potential sponsor.
Show this thread",,11,54,138,['https://pbs.twimg.com/profile_images/1451624172266868739/lpi5wPb4_mini.jpg'],https://twitter.com/hackSultan/status/1230048277762117632
Name cannot be blank,@hackSultan,2020-02-25T08:44:01.000Z,A really big thank you to ,"A really big thank you to #TechTwitter

I gave my first talk this year at 
@oscafrica
 (Cofounded by 
@Kolokodess
  and 
@Samson_Goddy
); the first in Nigeria and one of the largest Open source conference in Africa. 
I spoke about 
@dev_careers
 and a little about how we intend to grow.",,8,45,242,"['https://pbs.twimg.com/media/ERm7WHHXsAAv96z?format=jpg&name=small', 'https://pbs.twimg.com/media/ERm7WHPWoAAoCuQ?format=jpg&name=small']",https://twitter.com/hackSultan/status/1232224720222859264
Cam Blackwood,@CamBlackwood95,2020-03-17T10:36:20.000Z,"Hey tech twitter, I lost my job today :( If anyone needs a junior engineer who ","Hey tech twitter, I lost my job today :( If anyone needs a junior engineer who s ReactJS, please get in touch. Happy to work in London or remote. Please RT for reach  #juniordeveloper #techtwitter #javascript #100DaysOfCode #reactjs",❤ 🙏,24,433,463,[],https://twitter.com/CamBlackwood95/status/1239863130559336449
Rachael Onoja,@onojarachael,2020-03-14T08:45:26.000Z,"Looking for Graduate Internship Opportunities around Project/Program Management, 
- I offer 2+ years experience
- Love working with Data
- Delivers Excellence at all times.
Open to sharing my CV on request.","Looking for Graduate Internship Opportunities around Project/Program Management, 
- I offer 2+ years experience
- Love working with Data
- Delivers Excellence at all times.
Open to sharing my CV on request.
#TechTwitter help a Sister, share with your network... ",💙,6,119,161,[],https://twitter.com/onojarachael/status/1238748057283551232
T€n€yia R€n€€,@TeneyiaRenee,2020-06-13T19:57:29.000Z,THANK YOU!! ,"THANK YOU!! 
#labeveryday #techtwitter #routergods #cisco",❤ ❤,113,125,"1,218",['https://pbs.twimg.com/media/EaatSB2U0AAurXE?format=jpg&name=small'],https://twitter.com/TeneyiaRenee/status/1271894479016845312
Your Foundational Friendly Neighborhood Bakman,@TiemmaBakare,2020-05-31T12:21:08.000Z,"Nobody:

Person: 
Discovers ","Nobody:

Person: 
Discovers #TechTwitter
Adds ""code"" or ""dev"" to username & profile
Starts posting pictures of code copied from tutorials with hashtags like #100DaysOfCode 

... Months later
Discovers coding is hard
Changes profile to ""Developer Advocate  and Retired Engineer""",🥑,67,163,347,[],https://twitter.com/TiemmaBakare/status/1267068592543195139
T€n€yia R€n€€,@TeneyiaRenee,2020-06-05T02:49:21.000Z,"I read somewhere there are only 211 female CCIEs, can anyone confirm??! Guess I'll be lucky number 212 ","I read somewhere there are only 211 female CCIEs, can anyone confirm??! Guess I'll be lucky number 212  #cisco #ccie #techtwitter #labeveryday",,23,22,263,[],https://twitter.com/TeneyiaRenee/status/1268736638714212352
Edidiong @ #KubeCon,Edidiong @ #KubeCon,2020-06-13T19:19:14.000Z,Hey ,"Hey #TechTwitter

Am I the only one that rarely completes a personal project?  

If you don’t struggle with this, let me know how you do it.",😩,93,44,365,[],https://twitter.com/Didicodes/status/1271884855585001478
Veni Kunche (she/her),@venikunche,2020-06-02T15:46:18.000Z,#BlackTechTwitter,"#BlackTechTwitter - Are you looking for a new role? 

Reply with your info (check tips below). I'll retweet to my 25K+ followers. I'll also share this thread in 
@DiversifyTechCo
's newsletter for employers.

#TechTwitter - Reach out to folks if you are hiring or RT the replies 1/2",,70,405,535,[],https://twitter.com/venikunche/status/1267844999699447813
Monty,@NYCBEARDO,2020-05-31T16:17:26.000Z,"JavaScript Teacher is a shitty tech fuckboy, if you still follow him, please stop right now ","JavaScript Teacher is a shitty tech fuckboy, if you still follow him, please stop right now #BlackTechTwitter #TechTwitter",⌨ 🖥,6,22,137,[],https://twitter.com/NYCBEARDO/status/1267128060064804864
Duiker101,@Duiker101,2020-06-19T09:35:33.000Z," Coding challenge!  

Create your own Twitter interaction circle

A fun challenge that will teach you:
- NodeJS
- Twitter API
- Algorithms
- Data structures

Great for beginners and advanced alike"," Coding challenge!  

Create your own Twitter interaction circle

A fun challenge that will teach you:
- NodeJS
- Twitter API
- Algorithms
- Data structures

Great for beginners and advanced alike

https://blog.hackertyper.net/post/twitter-interaction-circles-guide/…

#100DaysOfCode #JavaScript #TechTwitter #CodeNewbie
blog.hackertyper.net
Twitter Interaction Circles: An Exercise Project with NodeJS, Canvas and API
A step-by-step tutorial to create your own interaction circle on Twitter.",📢,4,135,289,['https://pbs.twimg.com/card_img/1527424247991353356/WHuRcSIW?format=jpg&name=small'],https://twitter.com/Duiker101/status/1273912293638766593
