UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Viraj Sheth,@viraj_sheth,2020-03-25T09:20:40.000Z,,"Yesterday in my QnA when I asked the question: 
What has Coronavirus taught you?

One guy replied: 
""Chu**yon se daro, chunotiyo se nahi""

This just changed my perspective to LIFE. Left a dent on me permanantly.",,15,98,694,[],https://twitter.com/viraj_sheth/status/1242743189166948353
Viraj Sheth,@viraj_sheth,2020-06-14T14:53:35.000Z,,"Expect portals like Aaj Tak to be completely rejected by the younger gen moving forward. It will take some time to weed out this poison from the minds of the rural youth as well. But it will happen in due time.

Absolute garbage journalism on display.",,17,285,"2,131",[],https://twitter.com/viraj_sheth/status/1272180389004509184
Viraj Sheth,@viraj_sheth,2020-06-18T13:56:14.000Z,,Yeah sex and all is great but have you ever planned something very detailed and the execution turned out to be exactly the same way step-by-step?,,28,33,998,[],https://twitter.com/viraj_sheth/status/1273615508185600001
Viraj Sheth,@viraj_sheth,2020-06-17T07:52:06.000Z,,"Just crossed 10,000 followers on Twitter. 
Small number in general, but fairly big feat personally.

Feel that if I'm out here grooming budding creators, I should walk the creator journey myself too.

Journey has just started, lots more content coming your way.

Thank you!",,30,7,917,[],https://twitter.com/viraj_sheth/status/1273161483208318982
Viraj Sheth,@viraj_sheth,2020-07-18T09:13:26.000Z,,"Unpopular opinion:

Don't listen to parents for career advice. 

They aren't updated with the best career options. Neither are their friends who they base their opinions off.

They only want you to be happy and secure. If you can assure that for yourself, they will come around.",,63,509,"4,186",[],https://twitter.com/viraj_sheth/status/1284415973605302273
Viraj Sheth,@viraj_sheth,2020-07-10T19:11:43.000Z,,Don't work with people who compliment you all the time. Work with people who complement you all the time.,,24,121,"1,439",[],https://twitter.com/viraj_sheth/status/1281667437448982528
Viraj Sheth,@viraj_sheth,2020-08-12T18:58:11.000Z,,The quickest way to lose your money is to keep it all to yourself.,,20,197,"2,989",[],https://twitter.com/viraj_sheth/status/1293622829984882689
Viraj Sheth,@viraj_sheth,2020-08-18T08:21:36.000Z,,WhatsApp Web is actually my most favourite productivity tool.,,40,48,"1,371",[],https://twitter.com/viraj_sheth/status/1295636954730475520
Viraj Sheth,@viraj_sheth,2020-08-01T08:50:15.000Z,,"If you really want to be a leader, distance yourself from the credit.",,17,173,"2,168",[],https://twitter.com/viraj_sheth/status/1289483570688307202
Viraj Sheth,@viraj_sheth,2020-08-11T20:53:25.000Z,,"Daytime is for operations. Night time is for creativity.

Night time is for dreaming. Day time is for acting on those dreams.",,21,246,"2,576",[],https://twitter.com/viraj_sheth/status/1293289439762853888
Viraj Sheth,@viraj_sheth,2020-08-15T08:39:45.000Z,,"Two types of people on August 15:

Type 1: India is the greatest nation of all time. Nothing like India. Show me a better country and I will change my name.

Type 2: Guys, today we really need ask ourselves, after 73 years of freedom, are we REALLY independent?",,39,93,"1,486",[],https://twitter.com/viraj_sheth/status/1294554357858357250
Viraj Sheth,@viraj_sheth,2020-08-15T14:57:51.000Z,,"Who's cutting the damn onions here man.

#DhoniRetires",,13,67,"1,259",[],https://twitter.com/viraj_sheth/status/1294649511185248258
Viraj Sheth,@viraj_sheth,2020-08-05T07:06:18.000Z,,"Pro tip:

Follow your friend's girlfriend/boyfriend on Instagram only once they get married.",,43,95,"2,110",[],https://twitter.com/viraj_sheth/status/1290906964164136961
Viraj Sheth,@viraj_sheth,2020-08-28T18:24:21.000Z,,"Cannot even begin to imagine the amount of fire-fighting Elon Musk does being the CEO of not one but TWO mammoth companies, both of which are attempting something never-done-before.",,18,48,"1,169",[],https://twitter.com/viraj_sheth/status/1299412518868267008
